,file_name,Longitudinal,Chain,Author,Isotype,Age,Size_igblastn,Disease,Link,BSource,BType,Size,Species,Vaccine,Subject,valid_entry_num
2103,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S64_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,277274,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,227789,human,None,S64,6223
2104,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S65_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,282378,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,234772,human,None,S65,5760
2105,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S66_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,209285,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,174762,human,None,S66,4420
2106,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S67_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,261067,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,216659,human,None,S67,4741
2107,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S68_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,233530,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,194576,human,None,S68,7748
2108,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S69_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,168862,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,139666,human,None,S69,1218
2109,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S6_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,239008,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,202389,human,None,S6,6298
2110,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S70_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,181169,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,151488,human,None,S70,4659
2111,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S71_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,187893,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,153345,human,None,S71,7256
2112,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S72_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,179453,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,147477,human,None,S72,3052
2113,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S73_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,161696,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,131124,human,None,S73,4959
2114,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S74_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,180138,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,145511,human,None,S74,2521
2115,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S75_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,190027,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,153653,human,None,S75,6902
2116,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S76_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,226823,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,186998,human,None,S76,4507
2117,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S77_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,188103,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,154556,human,None,S77,4819
2118,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S78_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,132151,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,111146,human,None,S78,4839
2119,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S79_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,176220,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,141829,human,None,S79,6352
2120,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S7_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,167953,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,141742,human,None,S7,2661
2121,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S80_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,184115,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,151960,human,None,S80,5624
2122,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S81_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,118811,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,95354,human,None,S81,425
2123,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S82_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,141358,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,115682,human,None,S82,1731
2124,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S83_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,248942,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,208172,human,None,S83,7629
2125,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S84_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,248263,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,204010,human,None,S84,4388
2126,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S85_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,218325,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,183590,human,None,S85,8436
2127,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S86_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,255811,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,203384,human,None,S86,6362
2128,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S87_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,182130,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,147794,human,None,S87,2876
2129,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S88_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,164045,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,131969,human,None,S88,5673
2130,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S89_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,281672,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,235658,human,None,S89,10549
2131,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S8_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,248306,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,206042,human,None,S8,7756
2132,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S90_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,186007,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,153916,human,None,S90,6824
2133,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S91_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,220876,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,184250,human,None,S91,7597
2134,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S92_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,92989,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,75624,human,None,S92,1355
2135,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S93_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,173255,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,144020,human,None,S93,4168
2136,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S94_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,133997,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,108112,human,None,S94,4100
2137,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S95_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,281701,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,229804,human,None,S95,2526
2138,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S96_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,106784,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,80410,human,None,S96,788
2139,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S97_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,159733,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,129982,human,None,S97,1758
2140,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S99_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,154605,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,127297,human,None,S99,1769
2141,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHM_Heavy_Healthy-celiac-disease_S9_Naive-B-Cells_igblastn_IGHM,no,Heavy,"Gidoni et al., (2019)",Bulk,no,133201,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,105604,human,None,S9,1334
2142,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S100_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,543715,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,391988,human,None,S100,6504
2143,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S10_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,574992,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,429799,human,None,S10,12137
2144,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S11_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,519071,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,375845,human,None,S11,10672
2145,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S12_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,541964,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,399169,human,None,S12,10886
2146,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S13_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,585290,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,436335,human,None,S13,11754
2147,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S14_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,511963,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,365578,human,None,S14,4201
2148,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S15_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,645646,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,467691,human,None,S15,5915
2149,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S16_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,379720,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,278314,human,None,S16,5441
2150,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S17_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,561191,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,405378,human,None,S17,4211
2151,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S18_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,466939,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,324470,human,None,S18,5199
2152,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S19_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,447569,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,328840,human,None,S19,9022
2153,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S1_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,444001,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,358439,human,None,S1,12270
2154,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S20_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,402251,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,298597,human,None,S20,8097
2155,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S21_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,425039,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,303815,human,None,S21,2504
2156,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S22_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,673832,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,485219,human,None,S22,12782
2157,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S23_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,570892,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,405856,human,None,S23,10801
2158,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S24_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,570354,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,416700,human,None,S24,11176
2159,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S25_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,448384,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,327969,human,None,S25,9209
2160,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S26_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,487119,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,337566,human,None,S26,6801
2161,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S27_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,510603,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,378452,human,None,S27,10802
2162,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S28_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,358846,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,246975,human,None,S28,2816
2163,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S29_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,680428,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,493372,human,None,S29,10740
2164,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S2_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,460259,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,373038,human,None,S2,12927
2165,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S30_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,498763,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,344495,human,None,S30,10301
2166,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S31_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,435333,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,312385,human,None,S31,8974
2167,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S32_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,526562,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,383029,human,None,S32,9984
2168,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S33_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,510284,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,357060,human,None,S33,5627
2169,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S34_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,940119,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,664968,human,None,S34,6792
2170,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S35_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,433869,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,304052,human,None,S35,8760
2171,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S36_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,916196,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,651684,human,None,S36,8580
2172,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S37_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,446916,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,335157,human,None,S37,8482
2173,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S38_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,347210,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,255518,human,None,S38,7696
2174,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S39_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,456368,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,323585,human,None,S39,8743
2175,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S3_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,397481,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,334059,human,None,S3,11083
2176,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S40_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,436169,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,314022,human,None,S40,9061
2177,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S41_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,581031,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,393564,human,None,S41,6294
2178,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S42_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,597064,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,422038,human,None,S42,4898
2179,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S43_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,433510,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,308514,human,None,S43,8584
2180,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S44_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,419188,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,300903,human,None,S44,2877
2181,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S45_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,434923,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,319667,human,None,S45,8918
2182,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S46_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,347100,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,254711,human,None,S46,8549
2183,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S47_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,450436,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,332594,human,None,S47,4125
2184,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S48_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,401677,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,293255,human,None,S48,8225
2185,Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S49_Naive-B-Cells_igblastn_Bulk,no,Light,"Gidoni et al., (2019)",Bulk,no,296779,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,221186,human,None,S49,5377
